301	0   7811	0	0.807508	bm25
301	0	67072	1	0.807508	bm25
301	0	62079	2	0.807508	bm25
301	0	56982	3	0.807508	bm25
301	0	50026	4	0.807508	bm25
301	0	46846	5	0.807508	bm25
301	0	46819	6	0.807508	bm25
301	0	46734	7	0.807508	bm25
301	0	45552	8	0.807508	bm25
301	0	45333	9	0.807508	bm25
301	0	44962	10	0.807508	bm25
301	0	40260	11	0.807508	bm25
301	0	39330	12	0.807508	bm25
301	0	34515	13	0.807508	bm25
301	0	16502	14	0.807508	bm25
301	0	4316	15	0.807508	bm25
301	0	37418	16	0.807508	bm25
301	0	24039	17	0.807508	bm25
301	0	24037	18	0.807508	bm25
301	0	23986	19	0.807508	bm25
301	0	22049	20	0.807508	bm25
301	0	18129	21	0.807508	bm25
301	0	68498	22	0.807507	bm25
301	0	68471	23	0.807507	bm25
301	0	62078	24	0.807507	bm25
301	0	54904	25	0.807507	bm25
301	0	47045	26	0.807507	bm25
301	0	47008	27	0.807507	bm25
301	0	46733	28	0.807507	bm25
301	0	41991	29	0.807507	bm25
301	0	38410	30	0.807507	bm25
301	0	38364	31	0.807507	bm25
301	0	26002	32	0.807507	bm25
301	0	22768	33	0.807507	bm25
301	0	22471	34	0.807507	bm25
301	0	17391	35	0.807507	bm25
301	0	16951	36	0.807507	bm25
301	0	51824	37	0.807507	bm25
301	0	51276	38	0.807507	bm25
301	0	41247	39	0.807507	bm25
301	0	41076	40	0.807507	bm25
301	0	33991	41	0.807507	bm25
301	0	26415	42	0.807507	bm25
301	0	24182	43	0.807507	bm25
301	0	24145	44	0.807507	bm25
301	0	23432	45	0.807507	bm25
301	0	17394	46	0.807507	bm25
301	0	0141	47	0.807506	bm25
301	0	56	48	0.807506	bm25
301	0	46806	49	0.807506	bm25
301	0	46730	50	0.807506	bm25
301	0	31249	51	0.807506	bm25
301	0	26053	52	0.807506	bm25
301	0	49407	53	0.807506	bm25
301	0	32619	54	0.807506	bm25
301	0	21961	55	0.807506	bm25
301	0	19646	56	0.807506	bm25
301	0	19199	57	0.807506	bm25
301	0	68723	58	0.807505	bm25
301	0	68383	59	0.807505	bm25
301	0	62372	60	0.807505	bm25
301	0	22377	61	0.807505	bm25
301	0	21038	62	0.807505	bm25
301	0	22088	63	0.807505	bm25
301	0	14832	64	0.807505	bm25
301	0	45477	65	0.807504	bm25
301	0	43801	66	0.807504	bm25
301	0	46142	67	0.807504	bm25
301	0	0141	68	0.807503	bm25
301	0	941237	69	0.807503	bm25
301	0	45068	70	0.807503	bm25
301	0	38124	71	0.807503	bm25
301	0	37947	72	0.807503	bm25
301	0	68508	73	0.807502	bm25
301	0	63999	74	0.807502	bm25
301	0	55033	75	0.807502	bm25
301	0	31295	76	0.807502	bm25
301	0	22718	77	0.807502	bm25
301	0	22345	78	0.807502	bm25
301	0	68746	79	0.807501	bm25
301	0	45450	80	0.807501	bm25
301	0	45360	81	0.807501	bm25
301	0	38482	82	0.807501	bm25
301	0	19535	83	0.807501	bm25
301	0	51565	84	0.807501	bm25
301	0	24247	85	0.807501	bm25
301	0	41684	86	0.8075	bm25
301	0	22779	87	0.8075	bm25
301	0	22687	88	0.8075	bm25
301	0	21079	89	0.8075	bm25
301	0	38787	90	0.8075	bm25
301	0	24325	91	0.8075	bm25
301	0	12209	92	0.807499	bm25
301	0	42315	93	0.807499	bm25
301	0	13011	94	0.807499	bm25
301	0	22259	95	0.807498	bm25
301	0	19049	96	0.807498	bm25
301	0	41285	97	0.807498	bm25
301	0	68801	98	0.807497	bm25
301	0	67116	99	0.807497	bm25
301	0	37795	100	0.807497	bm25
301	0	33857	101	0.807497	bm25
301	0	54773	102	0.807497	bm25
301	0	6353	103	0.807496	bm25
301	0	46757	104	0.807496	bm25
301	0	39430	105	0.807496	bm25
301	0	3921	106	0.807496	bm25
301	0	24451	107	0.807496	bm25
301	0	46857	108	0.807495	bm25
301	0	41839	109	0.807495	bm25
301	0	61161	110	0.807495	bm25
301	0	61106	111	0.807495	bm25
301	0	60007	112	0.807495	bm25
301	0	55219	113	0.807495	bm25
301	0	68087	114	0.807494	bm25
301	0	8364	115	0.807494	bm25
301	0	51695	116	0.807494	bm25
301	0	1206	117	0.807493	bm25
301	0	47661	118	0.807493	bm25
301	0	24133	119	0.807493	bm25
301	0	9402	120	0.807492	bm25
301	0	18122	121	0.807491    bm25
301	0	59910	122	0.80749 bm25
301	0	43552	123	0.80749	bm25
301	0	41399	124	0.80749	bm25
301	0	38878	125	0.80749	bm25
301	0	15636	126	0.80749	bm25
301	0	15586	127	0.80749	bm25
301	0	67126	128	0.807489	bm25
301	0	39493	129	0.807489	bm25
301	0	54461	130	0.807489	bm25
301	0	27619	131	0.807489	bm25
301	0	20796	132	0.807489	bm25
301	0	50	133	0.807489	bm25
301	0	63515	134	0.807488	bm25
301	0	55395	135	0.807488	bm25
301	0	49754	136	0.807488	bm25
301	0	41687	137	0.807488	bm25
301	0	40181	138	0.807487	bm25
301	0	37492	139	0.807487	bm25
301	0	21770	140	0.807487	bm25
301	0	21168	141	0.807486	bm25
301	0	41348	142	0.807486	bm25
301	0	30030	143	0.807485	bm25
301	0	90066	144	0.807485	bm25
301	0	8377	145	0.807485	bm25
301	0	32620	146	0.807485	bm25
301	0	10138	147	0.807484	bm25
301	0	865	148	0.807483	bm25
301	0	1022900116	149	0.807482	bm25
301	0	58608	150	0.807482	bm25
301	0	36212	151	0.807482	bm25
301	0	33498	152	0.807482	bm25
301	0	33483	153	0.807482	bm25
301	0	0127890066	154	0.807479	bm25
301	0	17047	155	0.807479	bm25
301	0	14772	156	0.807478	bm25
301	0	49380	157	0.807477	bm25
301	0	0610900001	158	0.807475	bm25
301	0	43965	159	0.807475	bm25
301	0	64950	160	0.807474	bm25
301	0	14483	161	0.807474	bm25
301	0	48645	162	0.807474	bm25
301	0	65896	163	0.807471	bm25
301	0	52701	164	0.807471	bm25
301	0	46030	165	0.807469	bm25
301	0	24246	166	0.807469	bm25
301	0	57742	167	0.807468	bm25
301	0	44864	168	0.807468	bm25
301	0	41288	169	0.807468	bm25
301	0	40746	170	0.807467	bm25
301	0	44579	171	0.807467	bm25
